20200221 165031,24.0
20200221 165041,24.0
20200221 165051,24.0
20200221 165101,24.0
20200221 165111,24.0
20200221 165121,23.937
20200221 165131,24.0
20200221 165141,24.0
20200221 165151,24.0
20200221 165201,24.0
20200221 165211,24.0
20200221 165221,23.937
20200221 165231,24.0
20200221 165241,23.937
20200221 165251,23.937
20200221 165301,23.937
20200221 165311,23.875
20200221 165321,23.937
20200221 165331,23.937
20200221 165341,23.937
20200221 165351,23.937
20200221 165401,23.937
20200221 165411,23.937
20200221 165421,23.937
20200221 165431,24.0
20200221 165441,23.937
20200221 165451,23.937
20200221 165501,23.937
20200221 165511,23.937
20200221 165521,23.937
20200221 165531,23.937
20200221 165541,24.0
20200221 165551,24.0
20200221 165601,24.0
20200221 165611,23.937
20200221 165621,23.937
20200221 165631,24.0
20200221 165641,24.0
20200221 165651,24.0
20200221 165701,24.0
20200221 165711,24.062
20200221 165721,24.0
20200221 165731,24.0
